r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	t[,1]	t[,2]	t[,3]	na[]
0	530	4	532	NA	NA	5	1	NA	2
75	2221	107	2223	NA	NA	7	1	NA	2
1	193	2	188	NA	NA	7	1	NA	2
169	4512	204	4502	NA	NA	5	1	NA	2
20	2138	19	2133	NA	NA	5	1	NA	2
9	800	17	800	NA	NA	2	1	NA	2
1	347	0	348	NA	NA	5	1	NA	2
2	1002	2	504	NA	NA	6	2	NA	2
0	123	3	124	NA	NA	4	1	NA	2
10	6582	1	1663	NA	NA	4	1	NA	2
1	75	3	76	NA	NA	5	1	NA	2
20	2099	17	2063	NA	NA	2	5	NA	2
21	1428	35	1410	NA	NA	2	1	NA	2
1	446	3	445	NA	NA	2	5	NA	2
0	460	5	459	NA	NA	4	1	NA	2
82	2285	66	2289	NA	NA	6	1	NA	2
1	258	0	89	NA	NA	5	1	NA	2
3	395	5	398	NA	NA	3	1	NA	2
3	450	5	434	NA	NA	5	1	NA	2
1	78	3	78	NA	NA	3	1	NA	2
0	206	2	202	NA	NA	5	1	NA	2
54	2081	78	2078	NA	NA	5	1	NA	2
2	224	4	223	NA	NA	5	1	NA	2
12	1538	24	1548	NA	NA	2	1	NA	2
46	3302	51	3293	NA	NA	5	1	NA	2
4	230	7	230	NA	NA	7	1	NA	2
8	1710	10	1698	NA	NA	5	1	NA	2
1	165	0	166	NA	NA	4	1	NA	2
0	203	1	201	NA	NA	4	1	NA	2
209	5170	231	5185	NA	NA	5	1	NA	2
444	10269	585	10267	NA	NA	7	1	NA	2
2	265	1	275	NA	NA	3	1	NA	2
3	240	0	114	NA	NA	2	1	NA	2
1	552	0	535	NA	NA	2	7	NA	2
2	844	1	833	NA	NA	3	1	NA	2
135	2891	131	2913	NA	NA	5	1	NA	2
61	2891	62	2913	NA	NA	5	1	NA	2
0	79	1	82	NA	NA	2	5	NA	2
2	633	0	630	NA	NA	6	7	NA	2
126	2514	138	2497	NA	NA	6	1	NA	2
3	437	0	450	NA	NA	6	2	NA	2
3	113	5	114	NA	NA	7	1	NA	2
265	2365	311	2366	NA	NA	2	1	NA	2
1	105	1	100	NA	NA	2	1	NA	2
7	433	4	431	NA	NA	5	1	NA	2
0	50	2	50	NA	NA	2	1	NA	2
35	1217	39	1225	NA	NA	2	1	NA	2
1	152	6	151	NA	NA	5	1	NA	2
3	54	4	66	NA	NA	5	1	NA	2
50	3866	62	3966	NA	NA	5	1	NA	2
1	253	1	249	NA	NA	2	5	NA	2
151	4439	174	4449	NA	NA	2	7	NA	2
89	5168	121	5137	NA	NA	2	1	NA	2
1	96	1	103	NA	NA	2	1	NA	2
5	142	4	146	NA	NA	5	1	NA	2
33	8901	64	8901	NA	NA	6	1	NA	2
0	176	2	177	NA	NA	5	1	NA	2
27	1211	29	1199	NA	NA	2	1	NA	2
7	1211	9	1199	NA	NA	2	1	NA	2
14	3304	17	3301	NA	NA	4	1	NA	2
1	230	0	136	0	129	6	5	7	3
