population	r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	r[,4]	n[,4]	t[,1]	t[,2]	t[,3]	t[,4]	na[]
m	14	530	8	532	NA	NA	NA	NA	5	1	NA	NA	2
m	2	275	0	275	NA	NA	NA	NA	7	5	NA	NA	2
s	1	2223	6	2221	NA	NA	NA	NA	1	7	NA	NA	2
m	17	691	8	337	NA	NA	NA	NA	2	7	NA	NA	2
p	2	167	2	158	NA	NA	NA	NA	5	1	NA	NA	2
m	7	1663	20	6582	NA	NA	NA	NA	1	4	NA	NA	2
m	4	117	3	118	NA	NA	NA	NA	2	7	NA	NA	2
s	56	2063	69	2099	NA	NA	NA	NA	5	2	NA	NA	2
p	10	1410	2	1428	NA	NA	NA	NA	1	2	NA	NA	2
p	18	702	2	282	NA	NA	NA	NA	6	1	NA	NA	2
s	0	446	1	445	NA	NA	NA	NA	2	5	NA	NA	2
p	21	3301	21	3304	NA	NA	NA	NA	1	4	NA	NA	2
s	4	2285	1	2289	NA	NA	NA	NA	6	1	NA	NA	2
s	1	156	2	163	NA	NA	NA	NA	3	1	NA	NA	2
s	0	60	1	57	NA	NA	NA	NA	6	2	NA	NA	2
s	0	187	1	178	NA	NA	NA	NA	3	1	NA	NA	2
s	7	2078	12	2081	NA	NA	NA	NA	1	5	NA	NA	2
p	11	223	9	224	NA	NA	NA	NA	1	5	NA	NA	2
p	1	3293	4	3302	NA	NA	NA	NA	1	5	NA	NA	2
s	3	203	0	201	NA	NA	NA	NA	4	1	NA	NA	2
m	11	10269	6	10267	NA	NA	NA	NA	7	1	NA	NA	2
m	2	70	0	263	NA	NA	NA	NA	1	7	NA	NA	2
s	2	205	0	65	NA	NA	NA	NA	5	1	NA	NA	2
s	0	844	3	833	NA	NA	NA	NA	3	1	NA	NA	2
s	1	134	2	135	NA	NA	NA	NA	6	1	NA	NA	2
s	3	2497	1	2514	NA	NA	NA	NA	1	6	NA	NA	2
p	7	213	5	214	NA	NA	NA	NA	2	6	NA	NA	2
s	1	437	2	450	NA	NA	NA	NA	6	2	NA	NA	2
s	1	334	1	170	NA	NA	NA	NA	6	7	NA	NA	2
s	2	2365	0	2366	NA	NA	NA	NA	2	1	NA	NA	2
p	0	142	1	143	NA	NA	NA	NA	3	1	NA	NA	2
s	1	622	1	148	NA	NA	NA	NA	7	1	NA	NA	2
p	3	248	0	246	NA	NA	NA	NA	6	2	NA	NA	2
m	0	358	1	383	NA	NA	NA	NA	6	2	NA	NA	2
s	1	93	1	349	NA	NA	NA	NA	1	7	NA	NA	2
s	0	230	2	231	NA	NA	NA	NA	6	2	NA	NA	2
s	0	432	1	439	NA	NA	NA	NA	6	2	NA	NA	2
p	98	3966	111	3866	NA	NA	NA	NA	1	5	NA	NA	2
s	6	686	6	338	NA	NA	NA	NA	6	2	NA	NA	2
p	16	8901	10	8901	NA	NA	NA	NA	6	1	NA	NA	2
s	2	950	0	472	NA	NA	NA	NA	6	2	NA	NA	2
p	3	236	0	119	NA	NA	NA	NA	8	7	NA	NA	2
m	1	275	0	137	NA	NA	NA	NA	8	2	NA	NA	2
m	1	272	0	140	NA	NA	NA	NA	6	2	NA	NA	2
s	6	255	0	128	NA	NA	NA	NA	6	2	NA	NA	2
m	0	846	2	848	NA	NA	NA	NA	2	7	NA	NA	2
m	0	165	1	157	0	79	NA	NA	6	2	1	NA	3
p	3	101	1	100	5	101	NA	NA	2	6	8	NA	3
m	1	542	0	544	0	546	NA	NA	6	2	7	NA	3
m	2	392	2	798	0	803	NA	NA	6	2	7	NA	3
m	1	538	1	1454	0	543	0	521	6	2	7	5	4
