r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	r[,4]	n[,4]	t[,1]	t[,2]	t[,3]	t[,4]	na[]
0	530	4	532	NA	NA	NA	NA	5	1	NA	NA	2
431	2221	622	2223	NA	NA	NA	NA	7	1	NA	NA	2
3	275	0	275	NA	NA	NA	NA	7	5	NA	NA	2
13	193	7	188	NA	NA	NA	NA	7	1	NA	NA	2
557	4512	715	4502	NA	NA	NA	NA	5	1	NA	NA	2
70	2138	90	2133	NA	NA	NA	NA	5	1	NA	NA	2
41	800	89	800	NA	NA	NA	NA	2	1	NA	NA	2
0	167	1	158	NA	NA	NA	NA	5	1	NA	NA	2
7	347	5	348	NA	NA	NA	NA	7	1	NA	NA	2
2	129	7	125	NA	NA	NA	NA	7	1	NA	NA	2
3	1002	3	504	NA	NA	NA	NA	6	2	NA	NA	2
5	123	6	124	NA	NA	NA	NA	4	1	NA	NA	2
1	621	0	189	0	194	0	211	6	2	7	5	4
62	6582	20	1663	NA	NA	NA	NA	4	1	NA	NA	2
4	75	10	76	NA	NA	NA	NA	5	1	NA	NA	2
43	1428	65	1410	NA	NA	NA	NA	2	1	NA	NA	2
1	702	0	282	NA	NA	NA	NA	6	1	NA	NA	2
20	446	23	445	NA	NA	NA	NA	2	5	NA	NA	2
116	3304	183	3301	NA	NA	NA	NA	4	1	NA	NA	2
5	460	9	459	NA	NA	NA	NA	4	1	NA	NA	2
259	2285	252	2289	NA	NA	NA	NA	6	1	NA	NA	2
0	344	1	86	NA	NA	NA	NA	3	1	NA	NA	2
9	450	16	434	NA	NA	NA	NA	5	1	NA	NA	2
0	112	4	114	NA	NA	NA	NA	4	1	NA	NA	2
4	1897	3	959	NA	NA	NA	NA	2	7	NA	NA	2
2	151	2	154	NA	NA	NA	NA	5	1	NA	NA	2
10	206	19	202	NA	NA	NA	NA	5	1	NA	NA	2
2	187	5	178	NA	NA	NA	NA	3	1	NA	NA	2
231	2081	292	2078	NA	NA	NA	NA	5	1	NA	NA	2
2	79	1	78	NA	NA	NA	NA	4	1	NA	NA	2
5	224	8	223	NA	NA	NA	NA	5	1	NA	NA	2
6	409	17	425	NA	NA	NA	NA	3	1	NA	NA	2
174	3302	248	3293	NA	NA	NA	NA	5	1	NA	NA	2
17	230	13	230	NA	NA	NA	NA	7	1	NA	NA	2
7	165	7	166	NA	NA	NA	NA	4	1	NA	NA	2
14	203	5	201	NA	NA	NA	NA	4	1	NA	NA	2
380	5170	421	5185	NA	NA	NA	NA	5	1	NA	NA	2
898	10269	1212	10267	NA	NA	NA	NA	7	1	NA	NA	2
8	240	4	114	NA	NA	NA	NA	2	1	NA	NA	2
0	552	1	535	NA	NA	NA	NA	2	7	NA	NA	2
1	230	0	136	0	129	NA	NA	6	5	7	NA	3
4	83	11	81	NA	NA	NA	NA	5	1	NA	NA	2
42	844	60	833	NA	NA	NA	NA	3	1	NA	NA	2
292	2891	356	2913	NA	NA	NA	NA	5	1	NA	NA	2
0	436	1	187	NA	NA	NA	NA	6	2	NA	NA	2
131	2514	154	2497	NA	NA	NA	NA	6	1	NA	NA	2
0	163	2	163	NA	NA	NA	NA	5	1	NA	NA	2
83	2365	121	2366	NA	NA	NA	NA	2	1	NA	NA	2
0	105	1	100	NA	NA	NA	NA	2	1	NA	NA	2
4	50	10	50	NA	NA	NA	NA	2	1	NA	NA	2
49	1211	66	1199	NA	NA	NA	NA	2	1	NA	NA	2
52	1217	94	1225	NA	NA	NA	NA	2	1	NA	NA	2
1	432	0	439	NA	NA	NA	NA	6	2	NA	NA	2
4	152	4	151	NA	NA	NA	NA	5	1	NA	NA	2
4	54	4	66	NA	NA	NA	NA	5	1	NA	NA	2
22	3866	43	3966	NA	NA	NA	NA	5	1	NA	NA	2
4	253	7	249	NA	NA	NA	NA	2	5	NA	NA	2
411	4439	463	4449	NA	NA	NA	NA	2	7	NA	NA	2
100	5168	154	5137	NA	NA	NA	NA	2	1	NA	NA	2
1	96	1	103	NA	NA	NA	NA	2	1	NA	NA	2
2	142	4	146	NA	NA	NA	NA	5	1	NA	NA	2
31	8901	68	8901	NA	NA	NA	NA	6	1	NA	NA	2
