population	r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	r[,4]	n[,4]	r[,5]	n[,5]	t[,1]	t[,2]	t[,3]	t[,4]	t[,5]	na[]
m	1	275	3	275	NA	NA	NA	NA	NA	NA	7	5	NA	NA	NA	2
s	6	2138	0	2133	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
p	1	54	2	53	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	2
p	2	167	3	158	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
m	2	227	0	78	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	2
m	6	555	4	382	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	2	123	0	124	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	2
m	28	1663	147	6582	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	2
m	1	117	0	118	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
s	56	2063	69	2099	NA	NA	NA	NA	NA	NA	5	2	NA	NA	NA	2
p	72	1410	61	1428	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	2
p	89	702	34	282	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	2
m	15	529	6	120	NA	NA	NA	NA	NA	NA	2	4	NA	NA	NA	2
s	14	446	12	445	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	2
s	23	2285	21	2289	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	2
s	1	60	1	57	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	21	1897	4	959	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
s	10	409	3	425	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	2
p	19	3293	20	3302	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	2
m	1	82	0	76	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
m	0	607	4	622	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	2
s	12	552	13	535	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
m	32	1913	36	2891	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	2
s	22	436	10	187	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	20	522	19	514	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	10	334	1	170	NA	NA	NA	NA	NA	NA	6	7	NA	NA	NA	2
m	2	163	0	163	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
s	129	2365	141	2366	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	2
p	6	248	2	246	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
m	7	358	8	383	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	16	230	19	231	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
p	36	1211	19	1199	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	2
s	22	432	26	439	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
p	3	60	3	60	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	51	4449	97	4439	NA	NA	NA	NA	NA	NA	7	2	NA	NA	NA	2
s	18	686	4	338	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
p	7	131	15	132	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	8	950	4	472	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	24	504	13	492	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
p	7	236	5	119	NA	NA	NA	NA	NA	NA	8	7	NA	NA	NA	2
s	11	275	0	137	NA	NA	NA	NA	NA	NA	8	2	NA	NA	NA	2
p	13	232	7	233	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	6	414	2	207	NA	NA	NA	NA	NA	NA	7	1	NA	NA	NA	2
m	1	130	4	260	NA	NA	NA	NA	NA	NA	1	7	NA	NA	NA	2
m	14	272	5	140	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	14	255	7	128	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
s	17	391	10	383	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
m	4	357	4	339	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
m	1	251	2	251	NA	NA	NA	NA	NA	NA	7	2	NA	NA	NA	2
m	7	165	3	157	5	79	NA	NA	NA	NA	6	2	5	NA	NA	3
p	0	101	0	100	1	101	NA	NA	NA	NA	2	6	1	NA	NA	3
m	0	132	2	259	5	128	NA	NA	NA	NA	1	6	2	NA	NA	3
m	1	230	0	136	0	129	NA	NA	NA	NA	6	5	7	NA	NA	3
m	22	621	3	189	3	194	5	211	NA	NA	6	2	7	5	NA	4
m	46	1902	13	477	11	476	12	462	19	468	2	3	4	5	7	5
