population	r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	r[,4]	n[,4]	t[,1]	t[,2]	t[,3]	t[,4]	na[]
m	6	530	1	532	NA	NA	NA	NA	5	1	NA	NA	2
m	1	339	3	333	NA	NA	NA	NA	4	5	NA	NA	2
s	56	2223	69	2221	NA	NA	NA	NA	1	7	NA	NA	2
s	86	4502	95	4512	NA	NA	NA	NA	1	5	NA	NA	2
s	7	800	0	800	NA	NA	NA	NA	2	1	NA	NA	2
m	31	691	8	337	NA	NA	NA	NA	2	7	NA	NA	2
p	1	167	2	158	NA	NA	NA	NA	5	1	NA	NA	2
m	1	555	1	382	NA	NA	NA	NA	6	2	NA	NA	2
s	3	123	2	124	NA	NA	NA	NA	4	1	NA	NA	2
m	29	1663	219	6582	NA	NA	NA	NA	1	4	NA	NA	2
m	3	117	3	118	NA	NA	NA	NA	2	7	NA	NA	2
s	23	2063	69	2099	NA	NA	NA	NA	5	2	NA	NA	2
p	18	1410	23	1428	NA	NA	NA	NA	1	2	NA	NA	2
p	17	702	2	282	NA	NA	NA	NA	6	1	NA	NA	2
m	1	529	3	120	NA	NA	NA	NA	2	4	NA	NA	2
s	19	446	1	445	NA	NA	NA	NA	2	5	NA	NA	2
p	11	3301	18	3304	NA	NA	NA	NA	1	4	NA	NA	2
s	26	2285	12	2289	NA	NA	NA	NA	6	1	NA	NA	2
s	5	156	1	163	NA	NA	NA	NA	3	1	NA	NA	2
m	2	730	0	694	NA	NA	NA	NA	2	7	NA	NA	2
s	1	60	1	57	NA	NA	NA	NA	6	2	NA	NA	2
s	10	1897	5	959	NA	NA	NA	NA	2	7	NA	NA	2
p	7	305	0	309	NA	NA	NA	NA	2	5	NA	NA	2
s	73	2078	66	2081	NA	NA	NA	NA	1	5	NA	NA	2
p	3	223	4	224	NA	NA	NA	NA	1	5	NA	NA	2
s	9	1548	38	1538	NA	NA	NA	NA	1	2	NA	NA	2
p	32	3293	36	3302	NA	NA	NA	NA	1	5	NA	NA	2
s	7	1710	5	1698	NA	NA	NA	NA	5	1	NA	NA	2
s	3	203	1	201	NA	NA	NA	NA	4	1	NA	NA	2
m	43	10269	32	10267	NA	NA	NA	NA	7	1	NA	NA	2
m	2	248	0	60	NA	NA	NA	NA	2	1	NA	NA	2
m	2	82	0	76	NA	NA	NA	NA	2	7	NA	NA	2
s	10	607	2	622	NA	NA	NA	NA	3	1	NA	NA	2
m	3	70	0	263	NA	NA	NA	NA	1	7	NA	NA	2
s	2	205	0	65	NA	NA	NA	NA	5	1	NA	NA	2
s	1	552	1	535	NA	NA	NA	NA	2	7	NA	NA	2
s	10	844	3	833	NA	NA	NA	NA	3	1	NA	NA	2
s	2	436	1	187	NA	NA	NA	NA	6	2	NA	NA	2
s	8	134	4	135	NA	NA	NA	NA	6	1	NA	NA	2
s	2	522	4	514	NA	NA	NA	NA	6	2	NA	NA	2
s	1	633	3	630	NA	NA	NA	NA	6	7	NA	NA	2
s	24	2497	25	2514	NA	NA	NA	NA	1	6	NA	NA	2
s	3	437	10	450	NA	NA	NA	NA	6	2	NA	NA	2
s	51	2365	11	2366	NA	NA	NA	NA	2	1	NA	NA	2
s	7	622	1	148	NA	NA	NA	NA	7	1	NA	NA	2
p	9	248	8	246	NA	NA	NA	NA	6	2	NA	NA	2
m	3	358	1	383	NA	NA	NA	NA	6	2	NA	NA	2
p	17	1211	14	1199	NA	NA	NA	NA	2	1	NA	NA	2
s	0	432	4	439	NA	NA	NA	NA	6	2	NA	NA	2
s	1	54	1	66	NA	NA	NA	NA	5	1	NA	NA	2
p	159	3966	157	3866	NA	NA	NA	NA	1	5	NA	NA	2
s	7	327	9	327	NA	NA	NA	NA	5	2	NA	NA	2
s	7	4449	61	4439	NA	NA	NA	NA	7	2	NA	NA	2
s	19	686	4	338	NA	NA	NA	NA	6	2	NA	NA	2
p	0	131	1	132	NA	NA	NA	NA	6	2	NA	NA	2
p	23	8901	17	8901	NA	NA	NA	NA	6	1	NA	NA	2
m	1	275	0	137	NA	NA	NA	NA	8	2	NA	NA	2
m	1	109	0	163	NA	NA	NA	NA	2	7	NA	NA	2
s	1	414	4	207	NA	NA	NA	NA	7	1	NA	NA	2
m	0	130	1	260	NA	NA	NA	NA	1	7	NA	NA	2
m	2	272	11	140	NA	NA	NA	NA	6	2	NA	NA	2
s	6	255	1	128	NA	NA	NA	NA	6	2	NA	NA	2
m	0	357	1	339	NA	NA	NA	NA	6	2	NA	NA	2
m	1	251	0	251	NA	NA	NA	NA	7	2	NA	NA	2
m	1	846	4	848	NA	NA	NA	NA	2	7	NA	NA	2
m	1	165	0	157	0	79	NA	NA	6	2	1	NA	3
p	10	101	3	100	8	101	NA	NA	2	6	8	NA	3
m	4	230	0	136	2	129	NA	NA	6	5	7	NA	3
m	2	542	1	544	1	546	NA	NA	6	2	7	NA	3
m	1	392	0	798	1	803	NA	NA	6	2	7	NA	3
s	0	78	2	76	0	78	0	76	2	3	4	7	4
