r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	r[,4]	n[,4]	r[,5]	n[,5]	t[,1]	t[,2]	t[,3]	t[,4]	t[,5]	na[]
25	530	33	532	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
5	275	5	275	NA	NA	NA	NA	NA	NA	7	5	NA	NA	NA	2
10	339	8	333	NA	NA	NA	NA	NA	NA	4	5	NA	NA	NA	2
129	2223	126	2221	NA	NA	NA	NA	NA	NA	1	7	NA	NA	NA	2
6	800	3	800	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	2
48	691	24	337	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
2	167	9	158	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
7	227	2	78	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	2
23	555	14	382	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
3	123	6	124	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	2
100	1663	329	6582	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	2
145	1410	122	1428	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	2
79	702	22	282	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	2
16	529	5	120	NA	NA	NA	NA	NA	NA	2	4	NA	NA	NA	2
48	446	46	445	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	2
455	3301	449	3304	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	2
104	2285	91	2289	NA	NA	NA	NA	NA	NA	6	1	NA	NA	NA	2
7	730	7	694	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
9	182	1	63	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
16	450	10	434	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
2	60	3	57	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	2
89	1897	45	959	NA	NA	NA	NA	NA	NA	2	7	NA	NA	NA	2
2	102	0	105	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	2
43	305	21	309	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	2
11	187	8	178	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	2
74	2078	45	2081	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	2
12	223	8	224	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	2
33	1548	40	1538	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	2
7	194	7	193	NA	NA	NA	NA	NA	NA	7	5	NA	NA	NA	2
4	409	11	425	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	2
