r[,1]	n[,1]	r[,2]	n[,2]	r[,3]	n[,3]	r[,4]	n[,4]	t[,1]	t[,2]	t[,3]	t[,4]	na[]
0	530	3	532	NA	NA	NA	NA	5	1	NA	NA	2
182	2221	256	2223	NA	NA	NA	NA	7	1	NA	NA	2
3	275	0	275	NA	NA	NA	NA	7	5	NA	NA	2
4	193	11	188	NA	NA	NA	NA	7	1	NA	NA	2
498	4512	633	4502	NA	NA	NA	NA	5	1	NA	NA	2
72	2138	88	2133	NA	NA	NA	NA	5	1	NA	NA	2
23	800	40	800	NA	NA	NA	NA	2	1	NA	NA	2
0	167	2	158	NA	NA	NA	NA	5	1	NA	NA	2
1	227	1	78	NA	NA	NA	NA	2	5	NA	NA	2
4	347	1	348	NA	NA	NA	NA	5	1	NA	NA	2
1	129	4	125	NA	NA	NA	NA	7	1	NA	NA	2
1	1002	2	504	NA	NA	NA	NA	6	2	NA	NA	2
2	123	1	124	NA	NA	NA	NA	4	1	NA	NA	2
2	621	0	189	0	194	1	211	6	2	7	5	4
33	6582	3	1663	NA	NA	NA	NA	4	1	NA	NA	2
1	78	1	76	0	78	2	76	2	3	4	7	4
3	75	5	76	NA	NA	NA	NA	5	1	NA	NA	2
61	1428	82	1410	NA	NA	NA	NA	2	1	NA	NA	2
1	702	0	282	NA	NA	NA	NA	6	1	NA	NA	2
6	446	18	445	NA	NA	NA	NA	2	5	NA	NA	2
80	3304	77	3301	NA	NA	NA	NA	4	1	NA	NA	2
1	460	8	459	NA	NA	NA	NA	4	1	NA	NA	2
657	2285	644	2289	NA	NA	NA	NA	6	1	NA	NA	2
3	156	5	163	NA	NA	NA	NA	3	1	NA	NA	2
1	182	0	63	NA	NA	NA	NA	5	1	NA	NA	2
5	450	8	434	NA	NA	NA	NA	5	1	NA	NA	2
0	112	2	114	NA	NA	NA	NA	4	1	NA	NA	2
2	1897	5	959	NA	NA	NA	NA	2	7	NA	NA	2
1	151	0	154	NA	NA	NA	NA	5	1	NA	NA	2
4	206	6	202	NA	NA	NA	NA	5	1	NA	NA	2
2	187	4	178	NA	NA	NA	NA	3	1	NA	NA	2
180	2081	196	2078	NA	NA	NA	NA	5	1	NA	NA	2
3	79	4	78	NA	NA	NA	NA	4	1	NA	NA	2
3	224	4	223	NA	NA	NA	NA	5	1	NA	NA	2
3	409	7	425	NA	NA	NA	NA	3	1	NA	NA	2
106	3302	135	3293	NA	NA	NA	NA	5	1	NA	NA	2
13	230	6	230	NA	NA	NA	NA	7	1	NA	NA	2
2	165	2	166	NA	NA	NA	NA	4	1	NA	NA	2
3	203	1	201	NA	NA	NA	NA	4	1	NA	NA	2
631	5170	641	5185	NA	NA	NA	NA	5	1	NA	NA	2
1328	10269	1507	10267	NA	NA	NA	NA	7	1	NA	NA	2
1	607	1	622	NA	NA	NA	NA	3	1	NA	NA	2
1	132	0	259	0	128	NA	NA	1	6	2	NA	3
5	240	1	114	NA	NA	NA	NA	2	1	NA	NA	2
2	272	0	140	NA	NA	NA	NA	6	2	NA	NA	2
1	230	0	136	0	129	NA	NA	6	5	7	NA	3
5	83	9	81	NA	NA	NA	NA	5	1	NA	NA	2
36	844	49	833	NA	NA	NA	NA	3	1	NA	NA	2
298	2891	306	2913	NA	NA	NA	NA	5	1	NA	NA	2
4	522	1	514	NA	NA	NA	NA	6	2	NA	NA	2
728	2514	759	2497	NA	NA	NA	NA	6	1	NA	NA	2
1	334	0	170	NA	NA	NA	NA	6	7	NA	NA	2
0	163	1	163	NA	NA	NA	NA	5	1	NA	NA	2
0	113	7	114	NA	NA	NA	NA	7	1	NA	NA	2
216	2365	211	2366	NA	NA	NA	NA	2	1	NA	NA	2
4	142	5	143	NA	NA	NA	NA	3	1	NA	NA	2
12	433	13	431	NA	NA	NA	NA	5	1	NA	NA	2
1	371	1	369	NA	NA	NA	NA	6	2	NA	NA	2
1	50	2	50	NA	NA	NA	NA	2	1	NA	NA	2
1	358	0	383	NA	NA	NA	NA	6	2	NA	NA	2
0	542	3	544	0	546	NA	NA	6	2	7	NA	3
1	230	1	231	NA	NA	NA	NA	6	2	NA	NA	2
70	1211	68	1199	NA	NA	NA	NA	2	1	NA	NA	2
121	1217	127	1225	NA	NA	NA	NA	2	1	NA	NA	2
1	432	0	439	NA	NA	NA	NA	6	2	NA	NA	2
6	152	11	151	NA	NA	NA	NA	5	1	NA	NA	2
5	54	3	66	NA	NA	NA	NA	5	1	NA	NA	2
55	3866	79	3966	NA	NA	NA	NA	5	1	NA	NA	2
1	253	1	249	NA	NA	NA	NA	2	5	NA	NA	2
366	4439	374	4449	NA	NA	NA	NA	2	7	NA	NA	2
185	5168	212	5137	NA	NA	NA	NA	2	1	NA	NA	2
4	54	4	54	NA	NA	NA	NA	2	1	NA	NA	2
0	165	2	157	0	79	NA	NA	6	2	1	NA	3
1	96	0	103	NA	NA	NA	NA	2	1	NA	NA	2
1	131	0	132	NA	NA	NA	NA	6	2	NA	NA	2
1	142	2	146	NA	NA	NA	NA	5	1	NA	NA	2
198	8901	247	8901	NA	NA	NA	NA	6	1	NA	NA	2
9	55	20	55	NA	NA	NA	NA	2	1	NA	NA	2
2	950	2	472	NA	NA	NA	NA	6	2	NA	NA	2
2	504	0	492	NA	NA	NA	NA	6	2	NA	NA	2
